first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max
v5_h16off,v5_pair05,16.5,0.16731751399567918,0.46274914128518085,0.9691681446956364
v5_h16off,v5_pair15,16.0,0.15029450459913318,0.4212814733426264,0.9388089669925237
v5_h15,v6_l2_u1,4.75,0.2956811265540918,0.662210800678037,0.9855685655857439
v5_h15,v6_l2_u08,4.75,0.29837934542122424,0.6593895762163748,0.9840784646509788
v5_h15,v6_l24_u15,5.5,0.2580956621027902,0.6386114349339235,0.9959033997663074
v5_h15,v6_l24_u08,6.0,0.24950965793084756,0.6276118342947963,0.9988415489884942
v5_h15,v6_uniform,5.5,0.26780275403021514,0.639654510003862,0.9964546801125823
v5_h15,v6_l24_u32,5.25,0.2551466311998663,0.6291079262693322,0.9988393144596693
v5_h15,v5_h16off,5.25,0.24926979884956774,0.6346627357742526,0.9968789453096807
v5_h15,v5_h15,6.0,0.2380613845869525,0.615034767944908,0.9999710687288424
v5_h15,v5_h17p5,5.25,0.27826443718910165,0.6221116412103753,0.9895268990839503
v5_h15,v5_h12p5,7.0,0.1945526014511934,0.5725733153290294,0.9958606228419657
v5_h15,v5_pair05,16.0,0.15920531693219686,0.45205800081133585,0.9768732333897491
v5_h15,v5_pair15,15.75,0.14236030310054293,0.41260972174970656,0.9578853063148277
v5_h17p5,v6_l2_u1,4.75,0.352412657541411,0.7012211099212952,0.9982510795828764
v5_h17p5,v6_l2_u08,4.75,0.35340620118113947,0.7025944785870146,0.9988295366051049
v5_h17p5,v6_l24_u15,5.75,0.3091628327485049,0.6760965073790594,0.9985445147378706
v5_h17p5,v6_l24_u08,5.75,0.27641556025296243,0.6661604633764875,0.9974512812231779
v5_h17p5,v6_uniform,5.5,0.320375360241246,0.672145209390102,0.9983360829774519
v5_h17p5,v6_l24_u32,5.5,0.303792820136336,0.6559806327563136,0.9961684044828203
v5_h17p5,v5_h16off,5.5,0.2968926914621993,0.6662383898551159,0.9952588411720781
v5_h17p5,v5_h15,6.0,0.28457719857154334,0.6418083733401377,0.9899542704454749
v5_h17p5,v5_h17p5,28.75,0.31474819713422725,0.6749721389708861,0.9992617703025723
v5_h17p5,v5_h12p5,7.25,0.23344037484942523,0.6003087848928221,0.9876011618254716
v5_h17p5,v5_pair05,16.0,0.192240615914983,0.4813579646874738,0.9287404036445441
v5_h17p5,v5_pair15,15.75,0.17218580288187915,0.4390314967306948,0.900577971547327
v5_h12p5,v6_l2_u1,4.75,0.24490178628321024,0.6118869133315429,0.9631124387360923
v5_h12p5,v6_l2_u08,4.75,0.2460935252341747,0.6083719183425268,0.9595513045937479
v5_h12p5,v6_l24_u15,5.75,0.21249828143234237,0.5920177615507255,0.9754144583954767
v5_h12p5,v6_l24_u08,6.25,0.20369661598328104,0.5815660206612351,0.9791892209961265
v5_h12p5,v6_uniform,5.5,0.22107530046269855,0.5938368838280442,0.9863068155145446
v5_h12p5,v6_l24_u32,5.5,0.20919563092834056,0.585820309511939,0.9906467219957209
v5_h12p5,v5_h16off,5.5,0.20351539379372083,0.5900120182104728,0.9846869903484627
v5_h12p5,v5_h15,6.0,0.19584524811539425,0.5736349226260442,0.9950508115680186
v5_h12p5,v5_h17p5,4.75,0.23236639181886132,0.5731555522602734,0.9715606770944895
v5_h12p5,v5_h12p5,7.25,0.1577442100562803,0.5370384855955587,0.9999324771013314
v5_h12p5,v5_pair05,16.25,0.12985692821393408,0.42631423363773113,0.9922201647455059
v5_h12p5,v5_pair15,16.0,0.11594111251408191,0.3906245274902879,0.9841308685472566
v5_pair05,v6_l2_u1,6.0,0.20247717487502376,0.4830345905471449,0.9184214031584608
v5_pair05,v6_l2_u08,6.25,0.2045992354385001,0.4796701030398651,0.9160372607621589
v5_pair05,v6_l24_u15,7.25,0.17625596668195215,0.4690129865265085,0.9610023712058091
v5_pair05,v6_l24_u08,7.75,0.17009547399245376,0.4588708953845623,0.9712946822329586
v5_pair05,v6_uniform,7.0,0.18212984570329133,0.4733488256940118,0.9467646062410152
v5_pair05,v6_l24_u32,6.75,0.1717630425072422,0.4672867286568118,0.9602719569212068
v5_pair05,v5_h16off,6.75,0.16835300931201808,0.46783547431991546,0.963798828255439
v5_pair05,v5_h15,7.5,0.16092767470800154,0.4605231621563382,0.9666700023560454
v5_pair05,v5_h17p5,8.0,0.1875183346128114,0.4534842394949608,0.9370864692953829
v5_pair05,v5_h12p5,8.75,0.1308122176653225,0.4364108203737689,0.9984990898203641
