freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg,reciprocity_error_max,singular_value_max,reference_eta_output,eta_output_error
10.3,0.986979598249837,0.013021151454670397,4.455110769161788e-06,1.0000052048152765,18.562791493748673,8.0735439553983,0.02713437147947679,0.5370002380000032,6.801165414486332e-14,1.00002256148002,0.9835432142660422,0.003436383983794866
10.35,0.999693357123619,0.0003040215591751422,3.249395259273341e-06,1.0000006280780533,34.666083973838155,8.6029068454004,0.02072926037658731,0.5285900140000026,6.043116970587951e-14,1.0000184097820422,0.9998797219076084,-0.00018636478398947887
10.4,0.9833572270617842,0.016640040435532796,3.2801966167203083e-06,1.0000005476939338,17.45462901799415,9.13739092819947,0.03654180203683259,0.4913823850000009,7.117186214217723e-12,1.0000022340721022,0.9892439315232509,-0.005886704461466663
10.45,0.945300883639366,0.05468590414710659,4.671065329959634e-06,0.9999914588518024,12.392295448422983,9.673232873279982,0.05073522794226261,0.42070228900003404,3.3247282197733414e-14,1.0000176011110289,0.9573050006513677,-0.012004117012001658
10.5,0.8959677387874508,0.10401012263375227,7.345815883826127e-06,0.999985207237087,9.641005325493449,10.269815574716521,0.06096657498048244,0.3157845880000103,1.0001120109608467e-12,1.0000159924600267,0.9130939406642343,-0.017126201876783487
10.55,0.844840283504298,0.15514496889055143,1.104312842639242e-05,0.999996295523276,7.928854490428576,11.015073721058208,0.0643512783300159,0.1846274189999784,8.680149660023002e-15,1.000003140768278,0.8654347970733313,-0.0205945135690333
10.6,0.7984886576089953,0.20150233889314947,1.532302762661116e-05,1.0000063195297715,6.8141396953864835,11.950354564514491,0.0584238453853418,0.09133904399999339,1.9016919590792936e-14,1.0000083122513685,0.8208902326156964,-0.022401575006701036
10.65,0.760565528923179,0.23941606677479915,1.9604912384283343e-05,1.0000012006103625,6.087152943310199,12.951608613163168,0.042639130389522634,0.20931611860000107,2.480673976320838e-14,1.0000088846747792,0.7834222814579667,-0.022856752534787694
10.7,0.7326366643066698,0.2673379513600058,2.3313811284827866e-05,0.9999979294779603,5.632234793366977,13.61325879174538,0.02215861417004979,0.2713174252999935,8.756903582426403e-15,1.000002482553383,0.7549604750596869,-0.022323810753017037
10.75,0.7150460854035836,0.2849331822742884,2.6091901041580416e-05,1.0000053595789138,5.381213591917692,13.468600275289086,0.03692817833585929,0.26041085039999573,1.392378345170117e-14,1.0000047014248425,0.7361438898630762,-0.02109780445949261
10.8,0.7075225644316157,0.292458756613067,2.7905994964533697e-05,1.0000092270396472,5.290026320842251,12.579723964630073,0.060377915527645584,0.1795081513999969,1.9901268990503728e-14,1.0000071266748334,0.7268998404693571,-0.01937727603774142
10.85,0.7095144599894294,0.2904600844615272,2.8971358446034337e-05,1.0000035158094027,5.340753502689088,11.421336283762669,0.07810337157567264,0.1338109795999993,1.3913614077937588e-14,1.0000028095584679,0.7267951969761007,-0.01728073698667132
10.9,0.7203246832347208,0.2796434880515074,2.9593501560562884e-05,0.9999977647877887,5.525387648707374,10.330560383257598,0.08863548150660831,0.3100683147999986,1.257873853438947e-14,1.000001853648258,0.7352032204848594,-0.014878537250138657
10.95,0.7391193849311556,0.2608484281926252,3.005353433972388e-05,0.9999978666581205,5.8101853448886995,9.422138071474604,0.09195337754815737,0.5017278563399998,2.59881674294301e-14,1.000003881344529,0.751347398186155,-0.012228013254999448
11.0,0.7648678876415088,0.23510143514791074,3.05702166600817e-05,0.9999998930060796,6.238595680297806,8.705623669255667,0.08871696423541053,0.6965949238999981,3.3692645363283715e-14,1.0000023304211947,0.774274670869928,-0.009406783228419147
