freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg,reciprocity_error_max,singular_value_max,reference_eta_output,eta_output_error
10.7,0.6365877969708484,0.36340777647138767,4.417569429750837e-06,0.9999999910116659,4.371187282654237,13.765143478577409,0.03388292782107361,0.10878809680001353,1.5876339562223493e-14,1.000000224247645,0.639137587291768,-0.0025497903209195094
10.75,0.6414937247842271,0.35850182545780024,4.735616844117156e-06,1.0000002858588715,4.430690651897954,12.103236678345946,0.03685213392965763,0.11397915419999705,1.5945387918951293e-14,1.0000005945407355,0.6445171805064064,-0.0030234557221793246
10.8,0.6568694426782924,0.3431262885242821,5.102734511106689e-06,1.0000008339370856,4.620693099362773,10.832950765100126,0.03892927018244853,0.11924798480000444,9.999946017448863e-13,1.0000011968674585,0.6603563171842268,-0.003486874505934434
10.85,0.6819672771633676,0.3180277030280365,5.542814910970935e-06,1.0000005230063151,4.94932587700821,9.848088389878642,0.04039576957004483,0.1297265285999976,1.8201413062494143e-14,1.0000006330595792,0.6859145172461881,-0.003947240082820547
10.9,0.7158758118341036,0.2841175169530812,6.072016382583629e-06,0.9999994008035678,5.436709149487655,9.075297208261938,0.04141985840060869,0.16986648007999985,1.001807100806507e-12,1.0000002149291396,0.7202763254563537,-0.004400513622250024
10.95,0.7572742880156192,0.2427177147531149,6.697777294521737e-06,0.9999987005460285,6.117056609130087,8.468077466633826,0.042074249392484844,0.20992638158999913,1.00006541538985e-12,1.000000605260824,0.76210048250484,-0.004826194489220725
11.0,0.8041679516160402,0.1958239061556999,7.4155010544787585e-06,0.9999992732727948,7.0438880230370104,7.997275347555897,0.042350964279126956,0.2507858436000092,1.0000055198410772e-12,1.0000005513829355,0.8093470542225973,-0.005179102606557184
11.05,0.8536814076199448,0.14631076287756029,8.203040811467125e-06,1.0000003735383165,8.301248875393561,7.643758693272779,0.0421674839035916,0.29325274240000127,9.999607523853107e-13,1.000000458764099,0.859060281226841,-0.005378873606896151
11.1,0.9020250737880839,0.09796652115087467,9.013819332107905e-06,1.0000006087582909,10.02944777340067,7.403159422295066,0.04136058417233621,0.3379804029999991,1.1771630690931442e-12,1.0000012861813645,0.9073264258527635,-0.005301352064679521
11.15,0.9447543253793235,0.05523597010683354,9.770399849356112e-06,1.0000000658860064,12.493695328544298,7.275826497197553,0.039666077544763596,0.3853004440000057,1.7953810714782385e-13,1.000000964343883,0.9495354295215157,-0.0047811041421922384
11.2,0.9773683608687401,0.022621373249321838,1.0361813639233138e-05,1.0000000959317012,16.32014340614016,7.271925374024901,0.036694400220422176,0.4348319101999985,1.0675122059889398e-13,1.000000979581842,0.9810052489455242,-0.003636888076784084
11.25,0.9961423627229011,0.003847488701998267,1.0650568791920762e-05,1.0000005019936913,23.866796238900683,7.41719958504741,0.031937710452761905,0.48475274400001445,9.99986531179691e-13,1.000003363446336,0.9978673012739468,-0.0017249385510457182
11.3,0.9989284315054434,0.0010611770933992215,1.0499640582470083e-05,1.000000108239425,28.664024482672108,7.762475592007631,0.02486990947604044,0.5308430110000044,6.144301431312889e-13,1.0000021603674636,0.9979341077229638,0.0009943237824796558
11.35,0.9856196598863384,0.014370550526763856,9.832545142495513e-06,1.0000000429582445,18.17023605566974,8.39551377132839,0.01519088762323294,0.5658383370000183,9.484988469046819e-14,1.000000290879866,0.9812097697945524,0.00440989009178594
11.4,0.9581015426726616,0.041889730551764176,8.726775807189264e-06,1.0000000000002327,13.654194198250112,9.452846454491645,0.026591002920977668,0.5800173769999813,2.199992249406194e-14,1.0000000000049156,0.9498365230657603,0.008265019606901292
11.45,0.9197336344196975,0.08025886709854195,7.498481696270027e-06,0.9999999999999357,10.888917562527723,11.130504013530395,0.040918948195430634,0.5638095689999995,1.6715331574052583e-14,1.000000000003735,0.9075219859503044,0.012211648469393044
11.5,0.8745662280309344,0.1254270713407346,6.700627182250371e-06,0.9999999999988514,8.967743470145145,13.677188882466513,0.054743595130030485,0.5119363870000111,1.000009019832195e-12,1.0000000000047757,0.8586958173670111,0.015870410663923362
