freq_GHz,P1_RL_dB,P2_RL_dB,P3_RL_dB,P4_RL_dB,Sigma_RL_dB,Delta1_RL_dB,Delta2_RL_dB,Delta3_RL_dB,worst_modal_conversion_dB
9.425,13.361200523505625,13.325576961390448,6.225622095937693,1.3092822309910432,0.9929142310195631,1.185513744493639e-05,1.1669782910639674,0.19031856856434007,-7.020957841811738
9.45,13.41139834126083,13.373862396487864,6.200279841070486,1.314239125319916,0.9949184131267288,1.1739576122410267e-05,1.1660544740542276,0.18985849841912433,-7.017615293453518
9.475,13.462428414537442,13.422969959669738,6.174681340632851,1.3192579152399992,0.9970530480373402,1.1603885107885084e-05,1.1651190910625215,0.18935902624284984,-7.013944953895718
9.5,13.514314561027255,13.472924206937344,6.148820349855866,1.3243388030764616,0.9993124203129822,1.147012470379648e-05,1.164168823537607,0.1888234951881887,-7.009973637345515
9.525,13.567079882840913,13.523749009008704,6.122692238840308,1.3294820799211817,1.0016908198423262,1.135489783873923e-05,1.1632005145010074,0.18825531487319885,-7.005727976474301
9.55,13.62074672830919,13.575467515881503,6.096293977625503,1.3346881257232979,1.0041825487931293,1.1269302334723676e-05,1.1622111628978056,0.1876579522611843,-7.001234385916239
9.575,13.675336659229888,13.628102126228569,6.069624116168998,1.3399574104373033,1.0067819281310533,1.121922269246648e-05,1.1611979182986023,0.18703492308592867,-6.996519027595997
9.6,13.730870422908502,13.681674461085763,6.042682759422852,1.345290496122368,1.0094833038436029,1.1205881392788394e-05,1.1601580759462151,0.18638978382167204,-6.99160777775821
9.625,13.787367928355659,13.736205341304903,6.015471537718162,1.3506880398872987,1.012281052994433,1.1226575435637905e-05,1.159089072137908,0.18572612419524187,-6.986526195587686
9.65,13.844848226029375,13.79171476826118,5.987993572693107,1.3561507975763034,1.0151695897220145,1.127553012966337e-05,1.1579884799319249,0.18504756023379343,-6.981299493319249
9.675,13.903329490534277,13.848221907324639,5.960253439023571,1.361679628093362,1.018143371285417,1.1344809168535792e-05,1.156854005163896,0.1843577278384299,-6.975952507755199
9.7,13.962829005722888,13.905745073629525,5.932257122236403,1.367275498265816,1.0211969042470228,1.1425227361073151e-05,1.1556834827576985,0.18366027687242437,-6.970509673117084
9.725,14.02336315167711,13.9643017197013,5.904011972904747,1.372939488151357,1.0243247508709734,1.1507219850923874e-05,1.1544748733139734,0.1829588657495726,-6.9649949951724075
9.75,14.084947393087353,14.023908424531413,5.875526657542228,1.3786727966971315,1.0275215358049548,1.1581629758991008e-05,1.1532262599576024,0.1822571565069307,-6.95943202658583
9.775,14.147596268587517,14.084580883720935,5.846811106526443,1.3844767476647624,1.030781953100513,1.1640384206870824e-05,1.151935845425369,0.18155881034432042,-6.953843843458464
9.8,14.21132338064801,14.146333900350017,5.8178764593945385,1.3903527957400947,1.0341007736173857,1.167703636716418e-05,1.150601949373546,0.18086748361195742,-6.948253023022809
9.825,14.276141385674809,14.209181376263817,5.788735007861155,1.3963025327528844,1.0374728528447574,1.168715915377652e-05,1.1492230058858541,0.18018682422754198,-6.942681622470927
9.85,14.342061984010599,14.273136303506044,5.759400136915543,1.4023276939379106,1.040893139163521,1.1668583661044628e-05,1.1477975611608222,0.17952046850282916,-6.937151158902019
9.875,14.409095909582623,14.338210755666605,5.729886264355817,1.4084301641752872,1.0443566825618953,1.162148220698684e-05,1.146324271358964,0.1788720383609678,-6.931682590377149
9.9,14.477252918990992,14.404415878951816,5.70020877911825,1.4146119841551783,1.0478586438084139,1.154830262005429e-05,1.1448019005889019,0.17824513892604293,-6.926296298077284
9.925,14.546541779880178,14.471761882822815,5.670383978755078,1.420875356419079,1.0513943040758567,1.145356576371198e-05,1.1432293190141756,0.17764335646752863,-6.9210120695616615
9.95,14.616970258485889,14.540258030087728,5.640429006407811,1.4272226512369572,1.0549590750019735,1.1343543521798737e-05,1.1416055010609467,0.17707025668393092,-6.915849083128504
9.975,14.688545106295672,14.609912626371244,5.61036178761313,1.4336564122873163,1.0585485091645501,1.1225838451276375e-05,1.139929523709346,0.1765293833115803,-6.910825893279796
10.0,14.761272045807722,14.68073300892213,5.580200967266818,1.4401793621145433,1.0621583109407526,1.110888939579885e-05,1.1382005648519022,0.17602425704728042,-6.905960417294919
10.025,14.835155755415652,14.752725534754287,5.549965847056094,1.446794407345342,1.065784347714719,1.1001429604263654e-05,1.1364179017033502,0.17555837477555353,-6.901269922916696
10.05,14.91019985348614,14.825895568149887,5.5196763236552835,1.4535046436536205,1.0694226613916502,1.0911924883062983e-05,1.13458090924812,0.1751352090945804,-6.89677101715326
10.075,14.98640688173554,14.90024746758499,5.489352827960788,1.4603133604704366,1.0730694801708678,1.0848019820850123e-05,1.132689058713595,0.17475820813772508,-6.892479636200085
10.1,15.0637782880408,14.975784572163793,5.4590162656227506,1.4672240454430425,1.0767212305280898,1.0816018843012086e-05,1.1307419160584307,0.17443079569095798,-6.888411036482003
10.125,15.142314408852926,15.052509187673476,5.428687959109613,1.474240388653651,1.0803745493525847,1.082042756177903e-05,1.1287391404677285,0.17415637160989914,-6.884579786815541
10.15,15.222014451401783,15.13042257239244,5.398389591521427,1.481366286615928,1.0840262961839056,1.0863577138589057e-05,1.1266804828488524,0.17393831254359557,-6.880999761689283
10.175,15.302876475901687,15.209524922800139,5.368143152345527,1.4886058460733307,1.0876735654916287,1.094535088446307e-05,1.124565784323626,0.17377997297559014,-6.877684135656245
10.2,15.384897377981218,15.289815359351358,5.337970885326961,1.4959633876298617,1.091313698941458,1.1063028659718071e-05,1.1223949747150355,0.17368468659661246,-6.874645378830941
10.225,15.468072871568213,15.371291912485281,5.307895238604697,1.5034434492496642,1.0949442975920904,1.1211259949674348e-05,1.120168071029019,0.17365576802579963,-6.871895253480006
10.25,15.552397472464637,15.453951509043202,5.277938817243427,1.5110507896675318,1.0985632339693625,1.1382171533512123e-05,1.1178851759338122,0.17369651490126548,-6.86944481169248
10.275,15.637864482842714,15.537789959269206,5.248124338271132,1.5187903917573276,1.1021686639668882,1.1565610660536115e-05,1.1155464762420524,0.17381021036334934,-6.86730439411274
10.3,15.724465976886089,15.622801944562406,5.218474588312539,1.526667465910175,1.10575903852626,1.1749519318291146e-05,1.1131522414024595,0.17400012595646414,-6.8654836297156665
10.325,15.812192787785587,15.708981006138632,5.18901238389149,1.5346874534785406,1.1093331150547296,1.1920430013965777e-05,1.1107028220107087,0.17426952497791004,-6.863991436600891
10.35,15.901034496281019,15.79631953474684,5.159760534457555,1.542856030345869,1.1128899685430822,1.206406851071335e-05,1.108198648350411,0.17462166630403247,-6.86283602377941
10.375,15.9909794209148,15.884808761564624,5.130741808177368,1.5511791106846184,1.1164290023533678,1.2166044292164925e-05,1.1056402289771086,0.17505980872549742,-6.862024893923614
10.4,16.082014610136117,15.974438750374734,5.101978900517086,1.5596628509685546,1.1199499586520159,1.2212605364376185e-05,1.1030281493599308,0.17558721582461775,-6.861564847047879
10.425,16.174125836359593,16.065198391097443,5.073494405630031,1.5683136543063882,1.123452928471644,1.2191430618618568e-05,1.100363070596221,0.17620716142848708,-6.861461985085283
10.45,16.267297592044134,16.157075394719417,5.045310790552931,1.5771381751661635,1.1269383613922332,1.209242974206369e-05,1.0976457282160124,0.17692293567179423,-6.861721717322777
10.475,16.361513087817812,16.250056289627956,5.017450372204914,1.5861433245597474,1.1304070748405313,1.1908519186963699e-05,1.0948769310930673,0.17773785170288744,-6.862348766655088
