first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max,active_return_loss_min_dB,matched_input_isolation_min_dB
l1p4_s6p2,l1p4_s6p2,1.4000000000000004,0.51831744640389,0.7930778687300496,0.9999273023674139,3.1349995996061537,7.146043511146316
l1p4_s6p2,l1p4_s6p2,1.4200000000000004,0.5181389383770444,0.7931545610091937,0.9999602002184823,3.1334063569392123,7.145417059926334
l1p4_s6p2,l1p4_s6p2,1.4400000000000004,0.5179650988106544,0.7932305760466398,0.9999784110786842,3.1318558207322784,7.144859993886012
l1p4_s6p2,l1p4_s6p2,1.4600000000000004,0.5177959248463807,0.793305910368841,0.9999819325214891,3.1303479172540873,7.144372422531825
l1p4_s6p2,l1p4_s6p2,1.4800000000000004,0.5176314136991169,0.7933805605404025,0.9999707640769719,3.1288825747738587,7.143954456635109
l1p4_s6p2,l1p4_s6p2,1.5000000000000004,0.517471562657233,0.7934545231641509,0.9999449072319592,3.1274597235553636,7.143606208203432
l1p4_s6p2,l1p4_s6p2,1.5200000000000005,0.5173163690828072,0.7935277948811958,0.999904365429572,3.1260792958511887,7.143327790451492
l1p4_s6p2,l1p4_s6p2,1.5400000000000005,0.5171658304118557,0.7936003723709849,0.9998744609574721,3.1247412258971394,7.143119317771532
l1p4_s6p2,l1p4_s6p2,1.5600000000000005,0.5170199441545499,0.7936722523513507,0.9999101345095522,3.123445449906833,7.142980905703313
l1p4_s6p2,l1p4_s6p2,1.5800000000000005,0.5168787078954312,0.7937434315785523,0.9999368771666213,3.1221919060664307,7.142912670903575
l1p4_s6p2,l1p4_s6p2,1.6000000000000005,0.5167421192936139,0.793813906847308,0.9999546858589943,3.1209805345295507,7.142914731115038
l1p4_s6p2,l1p4_s6p2,1.6200000000000006,0.5166101760829854,0.7938836749908229,0.999963558541667,3.119811277412337,7.142987205134894
l1p4_s6p2,l1p4_s6p2,1.6400000000000006,0.516482876072396,0.7939527328808091,0.9999634941948058,3.1186840787886814,7.143130212782809
l1p4_s6p2,l1p4_s6p2,1.6600000000000006,0.5163602171458429,0.7940210774274986,0.9999544928239884,3.117598884685624,7.143343874868419
l1p4_s6p2,l1p4_s6p2,1.6800000000000006,0.5162421972626471,0.7940887055796506,0.9999365554602055,3.1165556430789003,7.143628313158327
l1p4_s6p2,l1p4_s6p2,1.7000000000000006,0.5161288144576244,0.7941556143245515,0.9999096841596129,3.1155543038886577,7.1439836503425695
l1p4_s6p2,l1p4_s6p2,1.7200000000000006,0.5160200668412469,0.7942218006880091,0.9998738820030442,3.114594818975318,7.144410010000578
l1p4_s6p2,l1p4_s6p2,1.7400000000000007,0.5159159525998013,0.7942872617343402,0.9998291530952775,3.1136771421356206,7.144907516566614
l1p4_s6p2,l1p4_s6p2,1.7600000000000007,0.5158164699955381,0.7943519945663515,0.9998297402314698,3.112801229098805,7.1454762952946655
l1p4_s6p2,l1p4_s6p2,1.7800000000000007,0.5157216173668128,0.7944159963253152,0.9998952265157449,3.111967037522963,7.146116472222817
l1p4_s6p2,l1p4_s6p2,1.8000000000000007,0.5156313931282245,0.7944792641909374,0.9999425565073085,3.1111745269915465,7.146828174137079
l1p4_s6p2,l1p4_s6p2,1.8200000000000007,0.5155457957707446,0.7945417953813222,0.9999717236161628,3.1104236590100265,7.147611528534652
l1p4_s6p2,l1p4_s6p2,1.8400000000000007,0.5154648238618396,0.7946035871529277,0.9999827237803639,3.1097143970027235,7.148441974558708
l1p4_s6p2,l1p4_s6p2,1.8600000000000008,0.5153884760455879,0.7946646368005181,0.9999755554673979,3.1090467063097806,7.147809792688417
l1p4_s6p2,l1p4_s6p2,1.8800000000000008,0.5153167510427894,0.7947249416571095,0.9999813135302866,3.108420554184306,7.147246459869709
l1p4_s6p2,l1p4_s6p2,1.9000000000000008,0.5152289902847356,0.7947844990939092,0.9999801914508567,3.107395210423146,7.14675208972844
l1p4_s6p2,l1p4_s6p2,1.9200000000000008,0.5150534661475147,0.7948433065202514,0.9999641860007251,3.105838900715927,7.146326797197384
l1p4_s6p2,l1p4_s6p2,1.9400000000000008,0.5148825683159595,0.7949013613835251,0.9999332993237674,3.1043246204895585,7.145970698488627
l1p4_s6p2,l1p4_s6p2,1.9600000000000009,0.5147162939475488,0.7949586611690994,0.9999147785228621,3.1028522981503897,7.145683911065505
l1p4_s6p2,l1p4_s6p2,1.9800000000000009,0.5145546402733692,0.7950152034002415,0.999940253265436,3.1014218640616944,7.14546655361406
l1p4_s6p2,l1p4_s6p2,2.000000000000001,0.5143976045983409,0.7950709856380299,0.9999570517031234,3.100033250537955,7.145318746014047
